site_id,mgmt_ip,sites_status,tag_location,tag_dctech
ST-1446,10.10.7.194,Active,NCR,na
ST-1447,10.10.30.2,Active,NCR,na
ST-1448,172.17.12.199,Active,NCR,na
ST-1451,10.10.22.154,Active,NCR,na
ST-1452,10.10.21.106,Active,NCR,na
ST-1453,172.17.12.108,Temporarily Closed,NCR,na
ST-1465,10.10.20.114,Active,NCR,na
ST-1466,10.10.21.94,Active,NCR,na
ST-1469,10.10.32.62,Active,NCR,na
ST-1481,10.10.20.150,Active,NCR,na
ST-1486,10.10.21.10,Active,NCR,na
ST-1487,10.10.22.142,Active,NCR,na
ST-1489,10.10.14.218,Active,NCR,na
ST-1490,172.17.3.144,Active,NCR,na
ST-1491,10.10.5.106,Active,NCR,na
ST-1497,10.10.22.134,Temporarily Closed,NCR,na
ST-1500,10.10.1.238,Active,NCR,na
ST-1502,172.17.12.18,Active,NCR,na
ST-1503,10.10.23.146,Active,NCR,na
ST-1508,172.17.3.141,Active,NCR,na
ST-1510,10.10.20.106,Active,NCR,na
ST-1513,10.10.20.118,Active,NCR,na
ST-1526,10.10.33.78,Active,NCR,na
ST-1527,10.10.24.210,Active,NCR,na
ST-1528,10.10.24.158,Active,NCR,na
ST-1529,10.10.21.98,Active,NCR,na
ST-1530,10.8.38.30,Active,NCR,na
ST-1531,10.10.6.150,Active,NCR,na
ST-1532,10.10.20.74,Temporarily Closed,NCR,na
ST-1540,172.17.8.11,Active,NCR,na
ST-1542,10.10.24.202,Active,NCR,na
ST-1544,172.17.12.118,Active,NCR,na
ST-1546,10.10.24.254,Active,NCR,na
ST-1553,172.17.1.171,Active,NCR,na
ST-1554,10.10.23.154,Active,NCR,na
ST-1555,10.10.28.94,Active,NCR,na
ST-1559,172.17.3.120,Active,NCR,na
ST-1560,10.10.36.134,Temporarily Closed,NCR,na
ST-1565,10.10.24.230,Active,NCR,na
ST-1573,10.10.24.234,Active,NCR,na
ST-1579,172.17.3.146,Active,NCR,na
ST-1594,10.8.38.94,Active,NCR,na
ST-1597,10.10.27.2,Active,NCR,na
ST-1598,10.10.32.137,Temporarily Closed,NCR,na
ST-1599,10.10.32.250,Active,NCR,na
ST-1601,172.17.12.164,Active,NCR,na
ST-1603,10.10.24.94,Active,NCR,na
ST-1606,10.10.24.218,Active,NCR,na
ST-1611,10.10.17.170,Active,NCR,na
ST-1613,10.10.26.90,Temporarily Closed,NCR,na
ST-1617,10.10.26.66,Active,NCR,na
ST-1620,10.10.23.222,Active,NCR,na
ST-1621,10.10.29.134,Active,NCR,na
ST-1622,10.10.25.182,Active,NCR,na
ST-1623,10.10.22.130,Active,NCR,na
ST-1625,172.17.8.241,Active,NCR,na
ST-1632,172.17.1.71,Active,NCR,na
ST-1633,10.10.25.150,Active,NCR,na
ST-1634,10.10.23.214,Active,NCR,na
ST-1636,10.8.38.136,Active,NCR,na
ST-1638,172.17.1.41,Active,NCR,na
ST-1643,10.10.26.70,Active,NCR,na
ST-1645,10.10.25.74,Active,NCR,na
ST-1646,10.10.23.202,Active,NCR,na
ST-1649,172.17.7.252,Active,NCR,na
ST-1650,10.10.7.230,Active,NCR,na
ST-1651,10.10.26.6,Active,NCR,na
ST-1656,10.10.23.162,Active,NCR,na
ST-1657,10.10.24.70,Active,NCR,na
ST-1660,10.10.25.26,Active,NCR,na
ST-1664,10.10.25.70,Active,NCR,na
ST-1665,10.10.29.6,Active,NCR,na
ST-1668,172.17.13.86,Active,NCR,na
ST-1673,10.10.23.246,Active,NCR,na
ST-1682,10.10.16.210,Active,NCR,na
ST-1685,10.10.27.230,Active,NCR,na
ST-1694,172.17.3.186,Active,NCR,na
ST-1696,10.10.26.14,Active,NCR,na
ST-1703,10.10.26.170,Active,NCR,na
ST-1704,172.17.7.216,Active,NCR,na
ST-1722,172.17.0.93,Active,NCR,na
ST-1726,10.10.30.18,Active,NCR,na
ST-1727,10.10.25.234,Active,NCR,na
ST-1730,10.10.27.218,Active,NCR,na
ST-1735,10.10.24.198,Active,NCR,na
ST-1763,172.17.13.45,Active,NCR,na
ST-1764,10.10.26.142,Active,NCR,na
ST-1765,10.10.28.66,Active,NCR,na
ST-1767,10.10.31.106,Active,NCR,na
ST-1770,10.10.34.82,Active,NCR,na
ST-1779,10.10.28.126,Active,NCR,na
ST-1780,172.17.1.161,Active,NCR,na
ST-1784,10.10.28.74,Active,NCR,na
ST-1788,10.10.27.214,Temporarily Closed,NCR,na
ST-1789,10.10.30.150,Active,NCR,na
ST-1799,10.10.10.106,Active,NCR,na
ST-1800,10.10.27.170,Active,NCR,na
ST-1801,10.10.26.230,Active,NCR,na
ST-1805,10.10.26.114,Active,NCR,na
ST-1818,10.10.30.74,Active,NCR,na
ST-1824,172.17.7.63,Active,NCR,na
ST-1825,10.10.1.166,Active,NCR,na
ST-1836,10.10.29.146,Active,NCR,na
ST-1840,10.10.25.174,Temporarily Closed,NCR,na
ST-1841,10.10.28.18,Active,NCR,na
ST-1842,10.10.9.22,Temporarily Closed,NCR,na
ST-1844,172.17.12.46,Active,NCR,na
ST-1848,172.17.12.160,Active,NCR,na
ST-1859,10.8.39.109,Active,NCR,na
ST-1860,10.10.33.162,Active,NCR,na
ST-1869,10.10.28.54,Active,NCR,na
ST-1872,10.10.27.190,Active,NCR,na
ST-1879,10.10.29.206,Active,NCR,na
ST-1888,172.17.12.4,Active,NCR,na
ST-1889,10.10.32.6,Active,NCR,na
ST-1899,172.17.3.123,Active,NCR,na
ST-1909,10.10.29.2,Active,NCR,na
ST-1920,172.17.13.146,Active,NCR,na
ST-1921,10.10.34.126,Active,NCR,na
ST-1925,10.10.30.26,Active,NCR,na
